spa,guc
no conocemos todos los hechos,sutuma nnojoluin wayaawatüin saa'u jamüin sülataka wanee kasa
podriamos creernos muy importantes,sutuma jülüjüin ne'e waa'in wakuwa'ipa wamüiwa'a
por que,jamüsü mojuka shia nümüin
de un ejemplo,püküja wanee shiyaawatia
nunca dudemos de jehova,punouja sünain tü nümakat je'waa
veamos un ejemplo,tnm
claro que no,nnojorüleeja'a
demostraron una fe sobresaliente,nee'iyatüin anain ma'in nanoula
al contrario confiaron en jehova,heb
como podemos animarnos mutuamente,kasa waa'inrajatka süpüla wachecherüin naa'in na wawalayuukana
como lo lograron,kasa naainjaka süpüla nnojoluinjatüin saja'ttüin naa'in
dificilmente,nnojo
que significa esto,kasa nüküjeeka achiki pablo
estaba muy deprimida,oo'ulaashii suulia anoujaa na ta'aleewainkana otta ayuuijaashi chi tashikai sutuma süpalanajaain isha nikiiru'u
con que resultado,jamaka'a sukuwa'ipa miriam sutuma tia
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaa sulu'ukat süpana
tal vez debamos seguir apoyandola,müle nukuwa'ipa wanee anoujüshi ayatüinjachia wakaaliinjüin
sus misericordias ciertamente no terminan,matüjüinsai oo'ulawaa je'waa suulia amüliajaa lam
como intenta enga arnos satanas,kasa ni'itaaka satanaa wapüleerua süpüla ni'ike'erüin waya
que mentira tan descarada,alawaa ne'e tia nümakat
que haria eva,kasaka'a saa'inrüin eva shi'ipajee tia
con que resultado,kasa saa'inraka eva sutuma tia
como,yaletayaasü naa'in
que equivocada estaba,malakatche ma'in sunoujaka na'alain chi yolujaakai
vea los parrafos y,paashaje'era pütchi otta
morderemos el anzuelo,nimeejeeiche pia chi yolujaakai
como podemos lograrlo,jamüinjatü sukuwa'ipa watuma
indice,pütchi sulu'uka
todos los derechos reservados,all rights reserved
pronto acabara el sufrimiento,alü'ütsü süpüla saja'ttüin tü müliaakat
el especialista p,müshi p
d,d
a nuestro creador,nümüin chi maleiwakai
dios mismo estara con ellos,tesalonica efeso juan nm
las cosas anteriores han pasado,alateetkat mapeena
de padres a hijos,pikiraja püchonnii
pero como es posible,atüjüsüja'a mojaa naa'in maleiwa
como se llamaban,kasaichi taa'in nünülia chi toolokoi otta tü jietkat
si adan y eva,aajaa adan nünülia chi toolokoi otta eva sünülia tü jietkat
sabes que fue,pütüjaa aa'u kasain alatüin
luego adan tambien lo desobedecio,müshia adan moonooinsai nia nümaa maleiwa
veamos como paso,anuusa'a tü alatakat
sabes que fue,pütüjaa aa'u kasain saainjüin eva
tratando de obedecerlo siempre,oonooinjachi pia waneepia sümaa nünüiki
te esforzaras por hacerlo,müleka poonoole nümaa je'waa otta pi'yataale nümüin talateerü naa'in putuma paainjeetche tia uutein
salmo,salmo
genesis,genesis
revelacion apocalipsis proverbios,alateetkat mapeena proverbios
lea colosenses,paashaje'era colosas
los conyuges deben respetarse mutuamente,kojutüjiraainjana na pa'wayuuseewashiikana
lea colosenses,paashaje'era colosas
lea juan,paashaje'era juan
lea genesis y,paashaje'era genesis otta
tambien suplia sus necesidades basicas,ex
no les falto nada,naapüin tü kasa cho'ujaakat namüin
acatamos estas instrucciones,waa'inrüinche tü nümakat wamüin
por que decimos esto,jamüsü naa'inmaaka ma'in tia
confiamos en sus recordatorios,we'itaainche waa'in sünain tü pütchi nüso'irakalü anain waa'in
una razon es el orgullo,süka yaletayaain naa'in
veamos tres maneras de hacerlo,wekirajaa joolu'u sünain apünüinsü kasa waa'inrajatka
pero david no era asi,nnojottaa
como nos beneficia la oracion,kasa anasü eeka sutuma wo'uraajüin nümüin maleiwa
de un ejemplo,püküja süchiki wanee kasa nnojotka nayaawatüin aa'u
de un ejemplo,püküja süchiki tü naa'inrakat na israeliitakana
vea los parrafos y,pi'itaa ma'in paa'in nünain je'waa ma'aka naa'in na israeliitakana paashaje'era pütchi
transformense rehaciendo su mente,nnojo jülüjüin jaa'in maa aka tü jülüjakat naa'in na manoujüinsaliikana
que veremos en este articulo,jarat tü apünüinsükat kasa wekirajaainjatka anain
por que tenemos que transformarnos,jamüsü wee'iratüinjatka wakuwa'ipa
que implica esa transformacion,kasa sünainpünaaka wee'iratüin wakuwa'ipa
como podemos transformarnos,kasa waa'inrajatka süpüla wee'iratüinjatüin wakuwa'ipa
por que,jamüsü kapüleeka shia namüin
como podemos conseguirlo,kasa waa'inrajatka süpüla wountüin tia
que puede ayudarnos,kasa waa'inrajatka süpüla tia
lea isaias,paashaje'era isaias
que les falta,kasache cho'ujaaka namüin
nuestro amor por el crecera,jülüjüle waa'in tia pütchikalüirua müle'ujeerü ma'in naalii je'waa wapüla
decisiones y mas decisiones,kapüleesüche pümüin püneeküin tü paa'inrajatkat
le gusta tomarlas,eeshii wayuu eekai naneeküin namüiwa'a tü naa'inrajatkat
pero que constituye exactamente robar,watüjaa aa'u mojuin a'luwajaa ef
veamos un ejemplo,wekirajaa sünain wanee sukuwa'ipa
recurrir a jehova lea filipenses,achuntajana waya kaaliinwaa nümüin je'waa paashaje'era filipos
era irremediable su situacion,kepisü
que habria hecho usted,kasaje'e paainjaka piale alatüin amüin tia
estas acciones nos benefician,nütüjaa aa'ulu kasa süpüshua roma
necesito ser mas disciplinado,cho'ujaasüche tachecherüin ma'in taa'in suulia tia
donde esta el problema,jamüsü mojuka tü naainjakat
surgiran problemas y dificultades,pürekutsootshii naya nutuma je'waa
hable con algunos precursores,paashajaa namaa na pürekutsootkana süpüla pütüjaain saa'u tü paa'inrajatkat
que hicieron keith y erika,kasaka'a naainjüin keith sümaa erika
indice,pütchi sulu'uka
todos los derechos reservados,all rights reserved
paginas a,punouja anainrü tia
como empezo todo,jamakuwa'ipat tü kasakat süpüshua'a
hemos hallado al mesias,wantüichipa anain chi mesiaskai
buenas noticias para todos,pütchi anasü süpülajatü wayuu süpüshua'a
influyen en nosotros los colores,susouktaka e'ipajee tü wiwüliakat
por que,jamüsü eeka shia nama'ana
quien seria esta descendencia,jaraiche chi suu'uliwo'uinjachikai tü jietkat
con el tiempo se veria,atüjaaneerü aa'u tia
acerquese a dios,pürütkaa nünainmüin maleiwa
lea colosenses,nüküjüin tia pablo paashaje'era colosas nm
analicemos lo que dijo,wekirajaa sünain tia pütchikat
continuen soportandose unos a otros,nnojo jaashichijaajiraain
relatado por waldo moya,nüküjala waldo moya
a o de nacimiento,juya jemeika o'u nia
pais chile,nuumainka chile
otros datos caracter muy violento,tü naa'inrapu'ukat wayuu kaashichijaarai
afortunadamente no lo logre,akalajasa'a nnojoluin taa'inrüin tia
aquello me abrio los ojos,tayaawataka saa'u nnojoluin süpüla tainküin tia tamüiwa'a
en febrero de me bautice,awoutisaajüshi taya so'u juyaka
antes era un hombre violento,wayuu kaashichijaarai taya tamaiwa otta sü'ürülashi taya wayuu
lea eclesiastes y juan,paashaje'era eclesiastes juan
lea job,paashaje'era job
lea corintios,paashaje'era corinto
lea salmo y hechos,paashaje'era salmo otta aluwataaushikana
por que,kasa apüla
brillante no es cierto,kekiikaiche ma'in chi maleiwakai
como lo logra,müsü aka saa'in saja'apüin shi'ichi wanee lapiseero
o piense en la libelula,jamüsü sütüjaka ma'in tü julitkat
cuanta informacion contiene el adn,chüüleesü tü kanüliakat adn otta yalasü sulu'u tü kasa cho'ujaakat süpüla nukumajaain wanee wayuu
que lo haya impresionado,püküja süchiki wanee kasa ponoko ma'in paa'in sünain tü pütchikat casualidad o dise o
por decadas la revista despertad,kakaliairü ma'in eitajünüin tü rewiisütakat despertad
nadie nos obligo,nnojotsü jaralüin apüleeruain waa'in süpüla waapüinjatüin waa'in nümüin je'waa
a que amo prefieres servir,jara püchekaka süpüla pülaamain
que bendigan tu glorioso nombre,ju'waaja tü nünüliakat neh
que buen ejemplo,anakatche ma'in ashataa tü nakuwa'ipakat
le ha pasado a usted,sülatüirüle tia pümüin kasa paa'inrajatka
que exhortacion obedecieron los israelitas,jarat tü pütchi jaa namakalü amüin na israeliitakana
como reacciono el pueblo,kasa tü natüjaakalü aa'u
a que pidieron los levitas,kasa nachuntaka na leviitakana nümüin je'waa
que aprendemos de los levitas,kasa watüjaka sünainjee nanüiki na leviitakana
b como respondieron los israelitas,kasa naa'inraka süka tü ekirajünakalü anain naya
no les falto nada,nm
todo lo contrario,nnojo
que esperanza tan hermosa,anakatche ma'in tü aapünajatkat namüin
que significa conocer a dios,kasa sünainpünaaka e'raajaa maleiwa
luego hizo una peticion personal,nuchuntüin tü kee'ireekat naa'in saja'ttiamüin nünüiki
como respondio jehova,kasa naapaka je'waa nümüin jesuu
lo lograron,nountüinche naa'inrüin tia
por supuesto,aa jamüsü watüjaaka saa'u
con que fin,kasa apüla
como,juan
cuidemos tambien nuestra valiosisima unidad,ayata paa'inwajiraain waya waneepia
indice,pütchi sulu'uka
todos los derechos reservados,all rights reserved
paginas a,nnojo washapajaain aa'in
es imposible amar a dios,eeshiche süpüla alin wapüla maleiwa
jesucristo a o,jesukürisüto juyaka so'u wakalia
marco italia,marco italia
rosa guatemala,rosa guatemala
raimunda canada,raimunda canada
mateo,mateo
por que lo hizo,jamüsü ni'raajiraka jesuu nünülia maleiwa
que descubrieron,kasa ne'raka sünainjee tia
lea juan,paashaje'era juan
que haran alli,kasa naa'inrüinjatka chayaa
lea lucas y revelacion apocalipsis,paashaje'era lucas otta alateetkat mapeena apocalipsis
lea revelacion,paashaje'era alateetkat mapeena
lea salmo y juan,paashaje'era salmo otta juan
por que debemos orar constantemente,jamüshii wachuntajanaka waneepia nümüin maleiwa
empleo todo tipo de oracion,kasa taashajaaka achiki to'uraajapa
oro constantemente,o'uraajüshiche taya waneepia
mencione algunos tipos de oracion,püküja waneeirua kasa waa'inrajatka wo'uraajapa
de que manera,jüküja nümüin tü shapaakat atüma jaa'in
seguimos ese consejo inspirado,eesüja'a süpüla sükaaliinjüin nia tü o'uraajaakat
con que resultado,kasa alataka süchikijee tia
por lo tanto oremos incesantemente,ayata waya sünain achuntaa waneepia nümüin chi maleiwakai tes
hablemosle sin prisas,nnojoishii ashapajaainjanain waya waashajaapa nümaa
mostrare una actitud de espera,nnojoleechi taya ashapajaain aa'in miq
que sucesos estamos esperando,kasa alatajatka süpülapünaa saja'ttüin kasa süpüshua'a
que veremos en este articulo,kasa wekirajaainjatka anain sünain ekirajaayakat tüü
lea miqueas,paashaje'era miqueas
a que dificultades nos enfrentamos,kasa eejiraaka amaa waya
miqueas vio recompensada su paciencia,sutuma nnojoluin nüshapajaain aa'in miqueas e'rüshi kasa anasü nutuma je'waa
lea tesalonicenses,paashaje'era tesalonica
por que no,jamüsü watüjaaka saa'u tia
lea revelacion,paashaje'era alateetkat mapeena
a que estan esperando,jamüsü nnojoyütkalia najütüin süchiki tia jouktaikat
que pasara entonces,kaseetka alatüin naainjapa tia
que equivocados estan,eetaayaai natüjaain saa'u tü alatajatkat namüin
por que,jamüsü nnojotka naainjüin tia
sentimos nosotros lo mismo,müsücheje'e waa'in ma'aka naa'in je'waa
ayudemos a los inactivos,wakaaliinja na eemiajaakana anoula
soy mas feliz,niache je'waa mojuka anüiki tamüin
como podemos cerrar filas,kasa waa'inrajatka süpüla paa'inwajiraainjanain waya namaa na wawalayuukana
que significa esto,kasa sünainpünaaka tia pütchikat
que debemos hacer ahora,kasa waa'inrajatka maa'ulu
en que sentido,kasa naainjaka süpüleerua nupueulose maleiwa
que pretendian,jamüsü naainjeekat tia
isaias dijo miren,müshi isaias jülüja jaa'in
que insensata decision tomo acaz,kasa naainjaka acaz sutuma nnojolin ni'itaain naa'in nünain maleiwa
cual seria su prioridad,kasaka'a naa'inrüin ezequias
no,nnojo
que magnifico ejemplo para nosotros,anashaatasü ma'in washatüle nukuwa'ipa ezequias cron
b como reacciono el pueblo,kasa naainjaka na judiokana
jehova lucharia por juda,jimatüinjana ne'e napüshua'a
y asi lo hizo,shia'aya ma'in naainjakat tia
b el asirio,na asiiriokana
se trata de ataques distintos,kojuyatuainjatka ashutünüin saa'u nupueulose maleiwa
no necesariamente,nnojotsü watüjaain aa'u tia
de que tratara este articulo,kasa wekirajaainjatka sünain ekirajaayakat tüü
lea hebreos,makalaka anain ma'in jüüjüüle waya namüin na laülaashiikana wapüleerua paashaje'era hebreokana
podria haber una promesa mejor,anakatche ma'in tü naainjüinjatkat je'waa
que veremos en este articulo,kasa wekirajaainjatka anain sünain ekirajaayakat tüü
indice,pütchi sulu'uka
paginas a,eeja jaa'in
por que hay que preguntarlo,jamüsü süsakinnaka anain tia
le va bien sin dios,müsü sünüiki wanee karaloukta nashajala na wayuu nnojoliikana anoujüin nünain maleiwa anasüche pukuwa'ipa süka nnojolin punoujüin nünain maleiwa
a millones de personas si,aa müshii mainma wayuu
pero como podemos hacerlo,jamüsü sukuwa'ipa süpüla wachajaain chi maleiwakai
veamos tres maneras,wekiraja sünain apünüinsü kasa süpüla wountüinjatüin tia
que opina usted,jamüsü saa'in pümüin tia
las cosas anteriores habran pasado,müiria nnojolüin ouktaa mojuu aa'in a'yalajaa je saalii ayuulii süka sülatüitpain süpüshua'ale makat aka tia
venga tu reino,sünta tü puluwataayakat
de que se trata,kasa wayuu tia
entonces necesitamos a dios,cho'ujaashiche chi maleiwakai wamüin
con mucho gusto lo ayudaran,nakaaliinjeechi pia
de padres a hijos,pikiraja püchonnii
los pastores estaban felices,talatüsü ma'in naa'in na arüleejüliikana
veamos que paso cuando llegaron,atüjüshii saa'u sukuwa'ipa tü jolotsükat
lucas,lucas
mateo pedro,mateo pedro
revelacion apocalipsis juan,alateetkat mapeena apocalipsis juan
lea lucas,paashaje'era lucas
de que manera vuelve cristo,e'nneiche kürisüto nüle'ejapa
el fue resucitado como espiritu,me'rujusai nia süchikijee süso'iraain naa'in pedro nm
lea daniel,paashaje'era daniel
lea mateo,paashaje'era mateo
lea lucas,paashaje'era lucas
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaakat
c que preguntas debemos hacernos,kasa wasakirüinjatka anain waa'in
y lo mismo sucede hoy,nnojorüle waa'inrüin tia eesü süpüla nnojoluin katüin wo'u waneepia yaa saa'u tü mmakat jee shiale chaa iipünaa cor
que actividades podrian debilitarnos espiritualmente,kasa eeka süpüla seemiajaain atuma wanoula
que hay de nosotros hoy,jama wayakana eesüche süpüla sülatüin wamüin tia
podriamos nosotros hacer lo mismo,eesüche süpüla müin sukuwa'ipa watuma
dios ama al dador alegre,talatü sü naa'in chi maleiwakai nümaa chi wayuu asülajakai süka naa'in cor
cronicas,cronicas
corintios,corinto
corintios,corinto
que hay de nosotros,jama wayakana
b que preguntas debemos hacernos,kasa wasakirüinjatka anain waa'in wane'ewai wakua
que obligaciones no debo descuidar,kasache tü nnojoluinjatkat motuin taa'in
miembros del betel de australia,wawala a'yataashi sulu'u weteet chaa australia
nuestro tiempo,ka'i wakatalaka
que quiso decir,nnojotsü nejepülüin nekii otta nnojotsü naapüin najapü
todo esto consumia mucho tiempo,kama'ashii naya sünain aainjaa tia
nuestro dinero,nneerü wakatalaka
b como puede ayudarnos jehova,kasa sotuinjatka waa'in
nuestras energias y habilidades,a'yatawaa ma'in nümüin maleiwa otta tü watüjakalü apüleerua
los detuvo esto,mo'unüinsaliiche na wawalayuukana sünain akaaliinjaa
para nada,nnojo
que espiritu de sacrificio,jülüjüsü ma'in naa'in tü na'yataainkat nümüin je'waa
cuanto los valoramos por ello,kasa antaka sulu'umüin waa'in sutuma tü naainjakat
nos referimos a la pascua,shia tü pascuakat
recuerda usted lo que ocurrio,sotusü paa'in tü alatakat wanaa sümaa tia
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaa sulu'ukat süpana
vea la nota,paashaje'era tü nootakat
vea el parrafo,pikiraja püchonnii sünain tü kasa eekat sutuma tü pascuakat paashaje'era pütchi
el tambien los libera,jülüja paa'in tü naainjakat napüleerua na israeliitakana wanaa sümaa niyu'lüin naya egiptojee
por fin eran libres,nnojoliinnapa naya achepchieein
por que,jamüsü kojutüka shia wamüin
por lo que jesus mando,sutuma tü nuluwataakalü anain waya jesuu
que procedimiento se seguira,kasa aainjünajatka sünain
que cuerpo,jamüsü maka'a nanüiki
esto significa mi cuerpo,maa aka taapüin joolu'u jümüin tü pankat meechia taya sünain aapajiraain tekii jaa'u jiakana mat
por que no,jamüsü
paginas a,maatso'u süpana jayeechi
el poder de la muerte,müliasü saa'in wayuu sutuma tü ouktaakat
jamas volveras a entrar,nnojoishi süpüla nikerotüin piantua sulu'u
solo te quedan los recuerdos,nnojotsü kasain shipin nutuma
esa es tu nueva realidad,shiaja'a ne'e soteerüin naa'in shia waneepia
es eso cierto,shiimaincheje'e tia
para frustrarnos,shiache süpüla mojuinjatüin waa'in nutuma
no eso es impensable,nnojo
lazaro sal,lazarus come out
por que,jamüshii natunkaka naashin jesuu na wayuu ouktüinnapakana
se estaria enga ando,amülasüche ni'itaain naa'in job sünain tia
no en absoluto,nnojorüleeja'a
los muertos viviran se levantaran,kateerü no'u nachikua'a na ouktüshiikana atamaajeena naya
despierten y clamen gozosamente,jüchijiraa sümaa talataa aa'in
tu hermano se levantara,oso'iraweechi aa'in chi puwalakai müshi jesuu sümüin marta
imaginese la sorpresa de marta,juan nm
entonces donde estaba,jalajaika nia
dormido en su tumba,naashin jesuu müsü aka saa'in atunkaa tü ouktaakat
que incomparable obsequio les hizo,anashaatasü ma'in tü naainjakat jesuu sümüin nüpüshi lazaro
que hay de usted,juan nm
dios es un espiritu invisible,me'rujusai chi maleiwakai
lea hechos,paashaje'era aluwataaushikana
lea salmo,paashaje'era salmo
lea genesis y deuteronomio,paashaje'era genesis otta deuteronomio
lea pedro,paashaje'era pedro nm
que magnifico porvenir,anainjatü ma'in nakuwa'ipa
claro que no,nnojo
que revela la historia biblica,jamüsü sünüiki tü wiwüliakat süchiki tia
que agradecidos le estaban,talatakajasa'a ma'in naa'in sutuma tia
que logro con esto,kasa alataka sünainjee tia
por supuesto que no,ayatüshi nia sünain aluwatawaa
que declaracion tan interesante,anakatche ma'in tia pütchikat
vea la nota,paashaje'era tü nootakat
con que proposito,kasa naa'inraka jesuu süchikijee tia
cual fue la reaccion,kasaka naainjüin na jutkatüshiikana sutuma tia
muchos sintieron lo mismo,mainma na makana anüiki
pero les faltaba preparacion,shiaja'a ne'e cho'ujaain nekirajünüin süpüla aküjaa pütchi wanaa sümaa tia
vivimos en tiempos trascendentales,maa'ulu yaa cho'ujaasü anainjatüin natuma na wayuukana süneekia tü naa'inrajatkat
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaakat
b cuando la puedes tomar,joujainjatü püneekaka tia a'yatawaakat
por que,jamüsü paa'inrajatka tia
asi lo hice,taainjüin tü nümakat tamüin
a como nos dignifica jehova,kasa nii'iyataka aka je'waa kojutüin waya nümüin
no sigas buscando,puu'ulaa suulia kachiiruain paa'in tia
que opinas,jamüsü saa'in pümüin
que decisiones debemos evitar,kasa tü eejüinjatkalü oulia waa'in
cual es la leccion,kasa shikirajaka anain pia tia
medita en sus sabios consejos,proverbios nm chi wayuu nnojoikai kasain nütüjaain aa'u nunoujüin süpüshua'a tü münakat nümüin
acuerdate de tu magnifico creador,soto paa'in chi maleiwa kakumalakai pia ecl
cuales son esos dias calamitosos,jamüsü maka nünüiki salomon
que significa ese consejo,kasa süküjeeka achiki tia pütchikat
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaa sulu'ukat süpana
asi que nos mudamos,wakolojooka chamüin
lea judas,watüjaapaja'a aa'u mojuin ma'in tia nümüin maleiwa paashaje'era judas
como podria explicarse esta reaccion,jamüsü maka'a nanüiki naya wayuukana
podemos permanecer fieles,naapeerü wamüin tü yalayalaakalü aa'in cor
paginas a,all rights reserved
tema de portada,pütchi sünainka süta tü rewiisütakat
de que modo,jamüsü wamaka'a tia
que equivocados estaban todos,alawaa ne'e tü namakat
podra detenerlo algun dia alguien,jarai chi anoukte'erüinjachikai sukuwa'ipa tia
y usted,puchuntüinche süntajatüin tia aluwataayakat
versiculo,wersiikulo eejatü wanee atkawaa chaa iipünaa eejachire nütkaain chi aapiee müle'oshikai kanüliakai miguel jesuu nümaa chi kayuushikai satanaa
lea tesalonicenses y timoteo,paashaje'era tesalonica otta timoteo
lea isaias y pedro,paashaje'era isaias otta pedro
como lo lograron,jamüsü pansaaka ma'in shia
dios mismo los guio,sutuma niain maleiwa aküjüin namüin tü nashajüinjatkat
lea samuel,paashaje'era samuel
lea revelacion apocalipsis,paashaje'era alateetkat mapeena apocalipsis
lea salmo,paashaje'era salmo
lea salmo,paashaje'era salmo
lea salmo,paashaje'era salmo
de que maneras,kasa tü kojutüleekat ma'in anainjee nia
lea salmo,paashaje'era salmo
lea salmo,paashaje'era salmo
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaa sulu'ukat süpana
lea salmo,paashaje'era salmo
quien es la novia,map
cuando se celebra la boda,jarat tü nu'wayuuseinjatkat
lea salmo,paashaje'era salmo
lea salmo,paashaje'era salmo
quien es ese rey,nia je'waa
lea salmo a,paashaje'era salmo
b como esta ella vestida,kasa a'anaanaka aka shia
lea revelacion,paashaje'era alateetkat mapeena
no,nnojo
que ocasion tan gozosa sera,eejeerü wanee talataa mulo'ushaata so'u tia
compartiran ese jubilo,map
lea salmo b,paashaje'era salmo
lea salmo,paashaje'era salmo
por que,sulu'u jamüin
lea salmo,paashaje'era salmo
que tenemos todos en comun,kasa wanaawaka atuma sukuwa'ipa wayuu
vea la ilustracion del principio,piirakaa sümüin tü ayaakua sulu'ukat süpana
vemos el paralelo,kasa wanaawaka anainjee tü naainjakalü abrahan sümaa tü naainjakat je'waa
cuanto se lo agradecemos,naa'inmajüinya naya
que agradecido estaba,talatashaatasü ma'in naa'in sutuma nükaaliinjüin nia chi nüshikai
obedeciendo cuidadosamente sus mandatos,oonooinjana waya sümüin tü nuluwataakalü anain is
que debemos hacer nosotros,nm kasaka'a waa'inrüinjatüin nachiaale waya na laülaashiikana
de tal palo tal astilla,kashishi ma'in nia jee keishi ma'in nia münüshi wanee jintüi sutuma nüshatüin nukuwa'ipa chi nüshikai jee shiale sukuwa'ipa tü niikat
hablemos de dos de ellas,wekirajaa nanain no'utku naya wayuukana
por su fe,sutuma nunoujüin nünain gen paashaje'era santiago
por que,jamüsü sülataka tia
b que preguntas deberiamos hacernos,jamüshi pa'aleewainka je'waa
por supuesto que no,nnojorüleeja'a
mas bien fue al contrario,sutuma ni'raajüin ma'in je'waa anajiraashi nia nümaa
como podemos ayudarlas,kasaka'a waa'inrüinjatüin süpüla wakaaliinjüinjanain naya
paginas a,all rights reserved
tema de portada,pütchi sünainka süta tü rewiisütakat
pero dios ama la justicia,ouktakalaka nia saaliijee
como lo sabemos,jamüsü watüjaaka saa'u tia
sobre quienes reinaran,tantireena naya'aya tanainmüin süpüla noonooinjanain sümaa tanüiki
como lo sabemos,shiimaincheje'e sülatüinjatüin tia
le gustaria vivir asi,pücheküin kepiain pia sulu'u wanee mma eekai müin aka saa'in tia
esperamos que pueda acompa arnos,kasataalejese'e chain pia wamaa
lea juan,paashaje'era juan nm
lea isaias y revelacion apocalipsis,paashaje'era isaias otta alateetkat mapeena apocalipsis
lea lucas y juan,paashaje'era lucas otta juan nm
pero como deberia hacerlo,naatale tü nunoujakalü anain wanee wapüshi jee manoujüinre nia jamüinjatü süküjia tü pütchikat nümüin
que nos ense a eso,anoujüshii naya mapa otta nnojoishii nüpüleeruain aa'in
como podemos imitarlos,kasa waa'inrajatka süpüla washatüinjatüin nukuwa'ipa andres nümaa cornelio
jürgen,jürgen
por que no,juan
roswitha,roswitha
que motivo el cambio,anoujüsü shia nünain je'waa süka shi'rüin anain ma'in nukuwa'ipa chi su'wayuusekai
que aconseja roswitha,kasa waa'inrajatka saashin roswitha
en retrospectiva que recomiendan ellos,kasa waa'inrajatka naashin naya wawalayuu manoujüinpu'ukana
como podemos aplicar estas palabras,kasa waa'inrajatka süpüla wountüin tia prov
sobre que temas suele leer,jarat tü pütchi kamalainkat nümüin süpüla naashaje'erüin
hans,hans
incluso lo intento con jesus,akayale'ennüshi adan sümaa eva nuulia maleiwa nutuma satanaa
como podria ocurrirnos eso,kasa sünainpünaaka jülüjüin waa'in nünüiki maleiwa
habria hecho lo correcto,shiaje taainjaka tü kasa anasükat
como se volvio egoista saul,jamakuwa'ipai saul süpüla kapülainjatüin naa'in nukuwa'ipa nümüiwa'a
no sigamos su mal ejemplo,nnojotsü anain wo'unüle süchiirua nukuwa'ipa
como habriamos reaccionado nosotros,kasaje paainjaka piale achiaanüin
como reaccionamos en momentos dificiles,kasa waainjaka wanaa sümaa sülatüin kasa mojusü wamüin
que aprendemos,kasa shikirajaka anain waya tia
vea la ilustracion del principio,piirakaa sümüin tü ayaakua sulu'ukat süpana
clamo basta,shiasa'a müin so'u wanee ka'i mojusü ma'in naa'in makalaka nümüin nümüin je'waa pu'uta mata taa'in je'waa
que valora jehova de nosotros,kasa kojutüka akajee waya nümüin je'waa
mantengase fiel,nnojo puu'ulaain suulia anoujaa
creia que jehova queria desecharlo,naashin niakai niyüülajüin nia je'waa sal
confie en esa promesa,nnojoleerü niyouktajüin tü nachuntakat sal
por que,jamüsü maka'a nukuwa'ipa chi jintüikai
sri lanka,sri lanka
sudafrica,sudafrica
estados unidos,estados unidos
variedad buena preparacion,anainjatü sukuwa'ipa jutuma
regularidad,yapainjana jia
no hay dos situaciones identicas,naatawaisü tü alatakat sümüin nüpüshi wanee wayuu
de un ejemplo,püküja süchiki tü naainjakat waneeinnua wawalayuu
posteriormente surgio un problema,meküinsalii atumawaa waneeinnua jieyuu oukta a'wayuusechii
que magnifico espiritu demuestran,kamaneeshii ma'in na wawalayuu aainjakana tia
b que preguntas surgen,kasa nasakiraka anain
vea la ilustracion del principio,piirakaa sümüin tü ayaakuaa sulu'ukat süpana
emocionalmente fue muy muy duro,mojusü ma'in naa'in sutuma tia
indice,pütchi sulu'uka
por que ora la gente,jamüshiiche no'uraajaka na wayuukana
deberia usted orar,jamüshii wo'uraajüinjanaka
por que lo hacen,jamüshiiche no'uraajaka na wayuukana
que hay de usted,jama piakai jamüshi pu'uraajaka nümüin maleiwa
tema de portada,pütchi sünainka süta tü rewiisütakat
no necesariamente,eesü nnojorüle naapamaatüin shia
para siempre,piyüülajüinjaitaakaja'a taya waneepia salmo nm
se la compraria de inmediato,pedro
lea salmo,paashaje'era salmo
lea juan y corintios,paashaje'era juan otta corinto nm
lea mateo y,paashaje'era mateo otta
lea pedro y revelacion apocalipsis,paashaje'era pedro otta alateetkat mapeena apocalipsis nm
por que,jamüsü
su vida tuvo verdadero sentido,anashaatasü ma'in nukuwa'ipa moises otta talatüsü naa'in
pero no era feliz,akatsa'a nnojoluin talatüin taa'in
que hare con mi vida,que hare con mi vida
como se siente ella ahora,jamaka'a saa'in tü wawalakat maa'ulu
soy muy feliz,talatüsü ma'in taa'in maa'ulu
no me arrepiento de nada,makalaka talatüin taa'in sümaa tü taa'inrakat maa'ulu
el mismo continuara contigo,ayateechi nia pümaain
que privilegios nos da jehova,kasa a'yatawaa naapaka je'waa wamüin
nosotros tambien tenemos una comision,müshi'iya wayakana naapüin je'waa wamüin wanee a'yatawaa
contemosle nuestros temores,we'itaainjatü waa'in nünain wachuntapa nümüin otta waküjüinjatü nümüin tü shapaakalü atuma waa'in
como,kasa naa'inraka süpüla nükaaliinjüin waya
igual que ayudo a moises,shia tü naainjakat nüpüleerua moises
asi deberia ser,süka kanoulain waya ayatüinjatia sulu'uin waa'in tia
por que no,jamüshi nnojoika mmoluin nia neema
no soy yo jehova,jarai manüika atuma wayuu mo'uka atuma shikii wayuu
cual era la leccion,jarai ko'upa'aka jee mo'upa'aka atuma wayuu
por que no,nm
se sintieron atrapados,otta taasia wayuu laülaa chi nekiipü'ükai arüleejüi ne'e nia otta mekiisat shikii nuuyase
